#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
亜細亜|アジア|Asia|{{c1::亜細亜}}と書いてアジアと読む。
哀願|あいがん|plea; earnest request|助命を{{c1::哀願}}する。
哀れむ|あわれむ|to pity; to feel compassion|傷ついた小鳥を{{c1::哀れむ}}。
哀れな|あわれな|pitiful; pathetic|{{c1::哀れな}}姿だ。
挨拶|あいさつ|greeting|{{c1::挨拶}}に行く。
挨拶状|あいさつじょう|greeting letter|{{c1::挨拶状}}を書く。
垢|あか|dirt; filth|{{c1::垢}}を落とす。
水垢|みずあか|water stain|{{c1::水垢}}がたまる。
垢抜け|あかぬけ|refined; polished|{{c1::垢抜け}}している。
握手|あくしゅ|handshake|卒業の時、先生と{{c1::握手}}した。
握力|あくりょく|grip strength|{{c1::握力}}を踊る。
握る|にぎる|to grasp; to seize|政権を{{c1::握る}}。
憧れ|あこがれ|longing; yearning|都会の生活に{{c1::憧れ}}ている。「{{c1::憧れ}}を胸に秘めている。」
扱って|あつかって|handling; dealing with|あの店では、コンサートのチケットも{{c1::扱って}}いる。
取り扱い|とりあつかい|handling; management|取扱いにご注意ください。
宛名|あてな|recipient's name|{{c1::宛名}}を書き間違えてしまった。
宛てて|あてて|addressed to|安達に{{c1::宛てて}}手紙を書いた。
嵐|あらし|storm|A地方は{{c1::嵐}}に見舞われた。
或日|あるひ|one day|{{c1::或日}}、一通の手紙が届いた。
或は|あるいは|or; possibly|今日のランチは、A定食{{c1::或は}}B定食です。
提案|ていあん|proposal; suggestion|企画を{{c1::提案}}する。
案外|あんがい|unexpectedly|今回の試験は{{c1::案外}}やさしかった。
案ずる|あんずる|to be anxious; to worry|事の成り行きを{{c1::案ずる}}。
威力|いりょく|power; might|新兵器の{{c1::威力}}を試す。
権威|けんい|authority; prestige|{{c1::権威}}を示す。
威張っている|いばっている|to act big; to be arrogant|あの人はいつも{{c1::威張っている}}。
行為|こうい|act; deed|勇気ある{{c1::行為}}だった。
為替|かわせ|exchange; money order|{{c1::為替}}の変動に注目する。
異常|いじょう|abnormality|{{c1::異常}}気象が続いた。
大同小異|だいどうしょうい|almost the same|{{c1::大同小異}}の意見ばかりだった。
異なる|ことなる|to differ|その話は事実と{{c1::異なる}}。
維持|いじ|maintenance|健康を{{c1::維持}}するために、毎朝ランニングをしている。
化学繊維|かがくせんい|chemical fiber|この箱は{{c1::化学繊維}}だ。
慰霊塔|いれいとう|memorial tower|{{c1::慰霊塔}}をたてた。
慰めた|なぐさめた|comforted|遺族を{{c1::慰めた}}。
慰める|なぐさめる|to comfort|美しい海を見ていると心が{{c1::慰める}}。
遺失物|いしつぶつ|lost item|{{c1::遺失物}}取扱い所に行く。
遺言|ゆいごん|will; testament|{{c1::遺言}}を残す。
遺跡|いせき|ruins; archeological site|{{c1::遺跡}}を発掘した。
緯度|いど|latitude|北海道は東京より{{c1::緯度}}が高い。
経緯|けいい|details; circumstances|事件の{{c1::経緯}}を見守る。
椅子|いす|chair|{{c1::椅子}}にかけてお待ちください。
炒めて|いためて|to stir-fry|肉と野菜を{{c1::炒めて}}食べた。
炒り卵|いりたまご|scrambled eggs|朝に{{c1::炒り卵}}を作る。
壱万円|いちまんえん|ten thousand yen (formal)|{{c1::壱万円}}を寄付した。
逸話|いつわ|anecdote|彼は{{c1::逸話}}の多い人だ。
逸脱|いつだつ|deviation|目的から{{c1::逸脱}}してしまった。
逸する|いっする|to miss (an opportunity)|好機を{{c1::逸する}}。
芋|いも|potato|{{c1::芋}}をふかして食べる。
婚姻届|こんいんとどけ|marriage registration|{{c1::婚姻届}}を提出した。
陰気|いんき|gloomy|彼は無口で{{c1::陰気}}な性格だ。
陰|かげ|shade; shadow; behind-the-scenes|{{c1::陰}}で悪口を言う。
陰り|かげり|darkness; decline|繁栄に{{c1::陰り}}が見える。
隠居生活|いんきょせいかつ|retirement life|{{c1::隠居生活}}を送っている。
隠して|かくして|to hide|無事を{{c1::隠して}}いた。
余韻|よいん|reverberation; lingering memory|コンサートの興奮の{{c1::余韻}}がさめない。
嬉しかった|うれしかった|was happy|彼のやさしい言葉が{{c1::嬉しかった}}。
噂|うわさ|rumor|「人の{{c1::噂}}も七十五日」、というから、気にしないほうがいい。
詠嘆|えいたん|exclamation; deep emotion|{{c1::詠嘆}}の声をあげた。
